Age,Salary,Experience,Department,Position
33,59420.36,12,Finance,Manager
57,82895.92,17,Sales,Junior
25,38165.76,16,Finance,Manager
52,38242.36,7,IT,Junior
61,55088.65,8,Sales,Manager
26,78688.88,9,Sales,Senior
60,49585.62,14,Finance,Junior
35,47992.58,17,HR,Manager
27,54833.02,9,Sales,Senior
57,93535.56,14,Sales,Senior
62,74379.95,12,Finance,Junior
55,77951.73,2,IT,Junior
35,86811.62,9,HR,Manager
56,48948.38,2,IT,Senior
36,82414.42,2,HR,Junior
53,76381.32,14,HR,Junior
52,43561.81,1,IT,Manager
64,74983.86,13,Sales,Manager
34,67604.55,8,Finance,Manager
63,58486.47,19,Finance,Junior
